#MV_NAME,MGR_NAME,MV_ID,PATH,SCALE_X,SCALE_Y
#---------------------BG_TEXTURES_0----------------------------
#-----------------GROUND---------------------
BG_TILE_BRIDGE61,ASSET_MGR,0033,res/texture/Misc/bridge61.png,2.5,2.5
BG_TILE_BRIDGE62,ASSET_MGR,0034,res/texture/Misc/bridge62.png,2.5,2.5
BG_TILE_BRIDGE63,ASSET_MGR,0035,res/texture/Misc/bridge63.png,2.5,2.5
#----------------------NATURE-----------------------------
BG_TILE_FOREST,ASSET_MGR,0020,res/texture/Nature/forest.png,0.5,0.5
BG_TILE_FISHWATER,ASSET_MGR,0022,res/texture/Nature/FishWater.png,1.26,1.25
BG_TILE_TORTOISEWATER,ASSET_MGR,0023,res/texture/Nature/TortoiseWater.png,2.5,2.5
BG_TILE_COCOTREE,ASSET_MGR,0036,res/texture/Nature/cocoTree.png,2.5,2.5
#-------------ACTOR_TEXTURES_1---------------------------
#-------------BUILDINGS_10--------------------------------
ACTOR_MAUSOLEUM,ASSET_MGR,1000,res/texture/Buildings/Prototypes/mausoleum.png,0.5,0.5
ACTOR_MAUSOLEUM2,ASSET_MGR,1001,res/texture/Buildings/Prototypes/mausoleum2.png,0.5,0.5
ACTOR_CYANKEEP,ASSET_MGR,1002,res/texture/Buildings/Prototypes/CyanKeep.png,0.5,0.5
ACTOR_REDKEEP,ASSET_MGR,1003,res/texture/Buildings/Prototypes/RedKeep.png,0.5,0.5
ACTOR_REDRESSOURCE,ASSET_MGR,1004,res/texture/Buildings/Prototypes/RedRessource.png,0.5,0.5
ACTOR_CYANRESSOURCE,ASSET_MGR,1005,res/texture/Buildings/Prototypes/CyanRessource.png,0.5,0.5
#-------------CHARACTERS_11----------------------------------------
ACTOR_KNIGHT,ASSET_MGR,1100,res/texture/Characters/Prototypes/knight.png,0.036,0.036
ACTOR_CYANSWORDSMAN,ASSET_MGR,1101,res/texture/Characters/Prototypes/SwordsmanCyan.png,2,2
ACTOR_REDSWORDSMAN,ASSET_MGR,1102,res/texture/Characters/Prototypes/SwordsmanRed.png,2,2
ACTOR_CYANBOWMAN,ASSET_MGR,1103,res/texture/Characters/Prototypes/BowmanCyan.png,2,2
ACTOR_REDBOWMAN,ASSET_MGR,1104,res/texture/Characters/Prototypes/BowmanRed.png,2,2
ACTOR_REDMAGE,ASSET_MGR,1105,res/texture/Characters/Prototypes/MageRed.png,2,2
ACTOR_CYANMAGE,ASSET_MGR,1106,res/texture/Characters/Prototypes/MageCyan.png,2,2
ACTOR_REDSPEARMAN,ASSET_MGR,1107,res/texture/Characters/Prototypes/SpearmanRed.png,2,2
ACTOR_CYANSPEARMAN,ASSET_MGR,1108,res/texture/Characters/Prototypes/spearmanCyan.png,2,2
ACTOR_CYANKNIGHT,ASSET_MGR,1109,res/texture/Characters/Prototypes/CyanKnight.png,1.5,1.5
ACTOR_REDKNIGHT,ASSET_MGR,1110,res/texture/Characters/Prototypes/RedKnight.png,1.5,1.5
ACTOR_CYANDRAGON,ASSET_MGR,1111,res/texture/Characters/Prototypes/BlueDragon.png,1.5,1.5
ACTOR_REDDRAGON,ASSET_MGR,1112,res/texture/Characters/Prototypes/RedDragon.png,1.5,1.5
#------------------UI_TEXTURES_3------------------------------------------
BG_TILE_PLAY_BUTTON,ASSET_MGR,3001,res/texture/UI/play.png,2,2
BG_TILE_HOME_BG,ASSET_MGR,3002,res/texture/UI/home_bg_title.png,0.99,0.96
BG_TILE_EMPTY,ASSET_MGR,3003,res/texture/UI/empty.png,1,1
BG_TILE_SELECT,ASSET_MGR,3004,res/texture/UI/selectable.png,1,1
